Data  |Horas Trabalhadas |Tipo Tarefa           |Descrição da Tarefa Realizada 
22/06 |5 horas           |Reunião com o grupo   |Definição do projeto e especificação dos módulos.
23/06 |7 horas           |Módulo tabuleiro      |Definição da estrutura do tabuleiro e criação das funções de iniciar tabuleior vazio e padrão, que retorna qual peça está na posição, função que retorna o valor de uma peça e a de remover uma peça do tabuleiro.
29/06 |3 horas           |Módulo tabuleiro      |Criação da função de verificar se um tabuleiro é válido e seus testes.
30/06 |2 horas           |Módulo tabuleiro      |Finalização do módulo e seus testes.
01/07 |4 horas           |Reunião com o grupo   |Decisão de coisas finais para o trabalho e divisão de trabalho.
02/07 |5 horas           |Módulo in-out.        |Criacao da lista de movimentos passados
06/07 |1 hora            |Módulo tabuleiro      |Atualizar função de mover peça e testes para funcionar com o roque.
0
06/07 |0.5 horas         |Cobertura e makefile  |Atualizar makefile para funcionar com o gcov e fazer os teste de cobertura.
06/07 |1 hora            |Verificação do código |Procura de erros e de vazamentos de memória.
06/07 |5 horas           |Reunião do grupo      |Decidir coisas finais do trabalho e grupo de ajuda
